_id,source,timestamp,name,city,country,categories,longitude,latitude,website,formatted_address,timestamp_year
69c1c9ec21c9fc4ece6b36ae,geoapify_json,2026-03-24 00:17:00.280,sarajevska sahat-kula,sarajevo,bosnia and herzegovina,"building, building.historic, building.tourism, heritage, man_made, man_made.tower, tourism, tourism.attraction, tourism.sights, tourism.sights.tower",18.428558717983485,43.85920950053678,unknown,"sarajevo clock tower, mudželiti veliki, 71200 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36af,geoapify_json,2026-03-24 00:17:00.280,at mejdan,sarajevo,bosnia and herzegovina,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42718282322576,43.856672250536846,unknown,"at mejdan, hamdije kreševljakovića, 71144 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b0,geoapify_json,2026-03-24 00:17:00.281,tašlihan,sarajevo,bosnia and herzegovina,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42791229528881,43.85859200053679,unknown,"tašlihan, zelenih beretki, 71144 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b1,geoapify_json,2026-03-24 00:17:00.282,velika kula barice,city of sarajevo,bosnia and herzegovina,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.442555774850888,43.88391380053615,unknown,"velika kula barice, barice, 71200 city of sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b2,geoapify_json,2026-03-24 00:17:00.282,džamija šejh feraha,sarajevo,bosnia and herzegovina,"building, building.historic, building.place_of_worship, heritage, religion, religion.place_of_worship, religion.place_of_worship.islam, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.mosque",18.432882184146344,43.86157620053672,unknown,"džamija šejh feraha, abdesthana, 71200 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b3,geoapify_json,2026-03-24 00:17:00.282,zgrada željezničke stanice bistrik,sarajevo,bosnia and herzegovina,"building, building.historic, building.tourism, building.transportation, entertainment, entertainment.museum, tourism, tourism.sights",18.432780699999995,43.852725250536935,unknown,"zgrada željezničke stanice bistrik, put mladih muslimana, 71144 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b4,geoapify_json,2026-03-24 00:17:00.283,palež kula,mz trebević,bosnia and herzegovina,"building, building.historic, tourism, tourism.sights, tourism.sights.fort",18.42649774877675,43.838180100537286,unknown,"palež kula, књегињац, 71144 mz trebević, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b5,geoapify_json,2026-03-24 00:17:00.283,kula ploče,sarajevo,bosnia and herzegovina,"building, building.historic, tourism, tourism.sights, tourism.sights.city_gate",18.43657015901379,43.86315605053667,unknown,"kula ploče, dizdareva, 71200 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b6,geoapify_json,2026-03-24 00:17:00.283,kuća alije đerzeleza,sarajevo,bosnia and herzegovina,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights",18.429591774258867,43.86443245053664,unknown,"kuća alije đerzeleza, sagrdžije, 71200 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b7,geoapify_json,2026-03-24 00:17:00.284,hastahana,sarajevo,bosnia and herzegovina,"tourism, tourism.sights, tourism.sights.square",18.41017371552044,43.85736105053682,unknown,"hastahana, mjesna zajednica marijin dvor, sarajevo, sarajevo canton, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b8,geoapify_json,2026-03-24 00:17:00.284,gazi husrev-begovo turbe,sarajevo,bosnia and herzegovina,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.tomb",18.42934343549286,43.85918000053678,unknown,"tomb of gazi khusrev-beg, čizmedžiluk, 71200 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36b9,geoapify_json,2026-03-24 00:17:00.285,šeher-ćehajina ćuprija,sarajevo,bosnia and herzegovina,"heritage, tourism, tourism.sights",18.43405233222684,43.85875590053679,unknown,"šeher-ćehaja bridge, šeher-ćehajina ćuprija, 71200 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36ba,geoapify_json,2026-03-24 00:17:00.285,goat's bridge,sarajevo,bosnia and herzegovina,"heritage, man_made, man_made.bridge, tourism, tourism.sights, tourism.sights.bridge",18.457187030166352,43.853652550536914,unknown,"goat's bridge, kozija ćuprija, 71200 sarajevo, bosnia and herzegovina",2026
69c1c9ec21c9fc4ece6b36bb,sample_csv,2026-03-24 00:17:00.286,unknown,unknown,unknown,unknown,18.42943563617414,43.85916650053677,unknown,unknown,2026
69c1c9ec21c9fc4ece6b36bc,sample_csv,2026-03-24 00:17:00.286,unknown,unknown,unknown,unknown,18.42943563617414,43.85916650053677,unknown,unknown,2026
69c1c9ec21c9fc4ece6b36bd,sample_csv,2026-03-24 00:17:00.287,unknown,unknown,unknown,unknown,18.42943563617414,43.85916650053677,unknown,unknown,2026
69c1c9ec21c9fc4ece6b36be,sample_xml,2026-03-24 00:17:00.287,unknown,unknown,unknown,unknown,18.42943563617414,43.85916650053677,unknown,unknown,2026
69c1c9ec21c9fc4ece6b36bf,sample_xml,2026-03-24 00:17:00.288,unknown,unknown,unknown,unknown,18.42943563617414,43.85916650053677,unknown,unknown,2026
69c1d4919daa1ee998f75056,geoapify_api,2026-03-24 01:02:25.881,dom oružanih snaga bih,sarajevo,bosnia and herzegovina,"activity, activity.community_center, building, building.historic, building.public_and_civil, heritage, tourism, tourism.sights",18.424119991873905,43.857283450536826,http://www.mod.gov.ba/,"armed forces hall of bosnia and herzegovina, zelenih beretki 2, 71000 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f75057,geoapify_api,2026-03-24 01:02:25.902,zajednički štab oružanih snaga bih,sarajevo,bosnia and herzegovina,"building, building.historic, building.military, building.office, office, office.government, tourism, tourism.sights",18.42997029604072,43.85677605053684,http://www.mod.gov.ba/,"joint staff of the armed forces of bih, bistrik 5, 71000 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f75058,geoapify_api,2026-03-24 01:02:25.903,gazi husrev-begov bezistan,sarajevo,bosnia and herzegovina,"building, building.commercial, building.historic, commercial.marketplace, tourism, tourism.sights",18.428078799964112,43.8587466505368,unknown,"gazi husrev bey's bezistan, mudželiti mali, 71200 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f75059,geoapify_api,2026-03-24 01:02:25.903,aškenaška sinagoga,sarajevo,bosnia and herzegovina,"building, building.historic, building.place_of_worship, building.tourism, religion, religion.place_of_worship, religion.place_of_worship.judaism, tourism, tourism.attraction, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.synagogue, wheelchair, wheelchair.limited",18.42508063267082,43.85631050053685,unknown,"ashkenazi synagogue, hamdije kreševljakovića, 71000 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f7505a,geoapify_api,2026-03-24 01:02:25.904,katedrala srca isusova,sarajevo,bosnia and herzegovina,"building, building.historic, building.place_of_worship, building.tourism, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.attraction, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.cathedral",18.42536307000636,43.859430400536766,https://katedrala-sarajevo.com/,"sacred heart cathedral, trg fra grge martića, 71000 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f7505b,geoapify_api,2026-03-24 01:02:25.904,žuta tabija,sarajevo,bosnia and herzegovina,"tourism, tourism.attraction, tourism.attraction.viewpoint, tourism.sights, tourism.sights.castle",18.437723658241435,43.86145795053672,unknown,"žuta tabija, bijela česma, 71200 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f7505c,geoapify_api,2026-03-24 01:02:25.904,bijela tabija,sarajevo,bosnia and herzegovina,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.castle",18.4444899518444,43.85936525053677,unknown,"bijela tabija, poddžebhana, 71200 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f7505d,geoapify_api,2026-03-24 01:02:25.905,stari grad vratnik,city of sarajevo,bosnia and herzegovina,"populated_place, populated_place.quarter, tourism, tourism.sights",18.441290705076725,43.86307795053668,unknown,"stari grad vratnik, mz ""vratnik"", city of sarajevo, sarajevo canton, bosnia and herzegovina",2026
69c1d4919daa1ee998f7505e,geoapify_api,2026-03-24 01:02:25.905,bistrik kula,sarajevo,bosnia and herzegovina,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.43811875367792,43.84218715053719,unknown,"bistrik kula, old bobsleigh track, 71144 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f7505f,geoapify_api,2026-03-24 01:02:25.905,trg oslobođenja - alija izetbegović,sarajevo,bosnia and herzegovina,"leisure, leisure.park, tourism, tourism.sights, tourism.sights.square",18.424207494739104,43.85835360053679,unknown,"trg oslobođenja - alija izetbegović, mz ""ferhadija"", sarajevo, sarajevo canton, bosnia and herzegovina",2026
69c1d4919daa1ee998f75060,geoapify_api,2026-03-24 01:02:25.906,spomen-park vraca,sarajevo,bosnia and herzegovina,"natural, natural.forest, tourism, tourism.sights",18.397842836204585,43.843487800537176,unknown,"vraca memorial park, teočačka, 71000 sarajevo, bosnia and herzegovina",2026
69c1d4919daa1ee998f75061,geoapify_api,2026-03-24 01:02:25.906,kasarna jajce,sarajevo,bosnia and herzegovina,"building, building.historic, no_access, tourism, tourism.sights",18.44002376585696,43.86088505053674,unknown,"jajce (former military barracks), bijela česma, 71200 sarajevo, bosnia and herzegovina",2026
